pool,linkage_method,denoise,lookback_years,rebalance_frequency,drift_threshold,ann_return,ann_vol,sharpe_ratio,sortino_ratio,max_drawdown,ann_turnover,total_friction_costs,total_taxes,rebalance_events
european,single,True,2,monthly,0.0,0.022637797548197947,0.04092732566178009,0.5531218368694492,0.7677213138461191,-0.16616132407805853,1.8077949519188317,1473.45806211153,20048.159909381106,197
european,single,True,2,monthly,0.015,0.02483894350920246,0.041207134080462206,0.6027826021751778,0.8381703443469414,-0.1640459334972759,1.5216414864183592,1240.226339511966,19878.86840335381,196
european,single,True,2,monthly,0.03,0.023029182625980527,0.04131519683487437,0.5574022246105209,0.7723204037867254,-0.16741932167769322,1.4477858144121587,1180.0296699534558,20275.33890084455,197
european,single,True,2,quarterly,0.0,0.023155377079690842,0.04164701835359832,0.5559912328679397,0.7671595082402516,-0.16855178760959763,1.2756786627841685,1029.0998439133616,20021.710310384155,66
european,single,True,2,quarterly,0.015,0.02461293680259491,0.0418868218651386,0.5876057362824099,0.8096474319451497,-0.163072507415964,1.1275225781836618,909.5811845634935,20307.56404645608,66
european,single,True,2,quarterly,0.03,0.02544800710999029,0.04243540933735133,0.5996880319377795,0.826819216016119,-0.16481284031188595,1.075885114323803,867.9248430814745,22465.933885155122,66
european,single,True,2,semi-annually,0.0,0.01919694678873407,0.041093136806124995,0.4671570067601346,0.6444724586190553,-0.14931966554146753,0.9461690812399034,751.495278487874,14565.140233990223,33
european,single,True,2,semi-annually,0.015,0.02034627819568624,0.041276848931502616,0.492922272953784,0.678682066154068,-0.1445313044591147,0.8903467485488489,707.1583620917756,13880.579998498732,33
european,single,True,2,semi-annually,0.03,0.020510129268571653,0.04132039023368272,0.4963682373902805,0.6857075611368137,-0.14411290784057476,0.744808026421901,591.5641573305776,12838.814257231816,33
european,single,True,3,monthly,0.0,0.02099153355334149,0.04076940830452242,0.5148844299271561,0.7062379082735637,-0.18494183712095125,1.3824802257440931,1057.3466148161874,17238.65854305856,185
european,single,True,3,monthly,0.015,0.02091245516846052,0.0408168384699578,0.5123487254862378,0.7044254251522278,-0.18704714066026842,1.1700812775284282,894.8999449077794,16378.285234196646,185
european,single,True,3,monthly,0.03,0.022078034494827925,0.04094709022997365,0.5391844541536336,0.7417143632804474,-0.18022921226729205,1.1857795492828578,906.9062754063418,17652.396449099553,185
european,single,True,3,quarterly,0.0,0.02159657011239058,0.04167665726894836,0.5181934331494799,0.7055900689022903,-0.18338633109104838,1.0309386944597254,780.1545657732187,16612.85905837468,62
european,single,True,3,quarterly,0.015,0.022255754839227038,0.04174626996078708,0.5331196023053608,0.723986527012017,-0.1784118076453971,0.8900243543855574,673.5187722167503,15586.422132962278,62
european,single,True,3,quarterly,0.03,0.019391722450917914,0.041995874800617256,0.4617530303388964,0.6291894011839217,-0.18373567471577754,0.8386234860782573,634.6215785134301,15224.412862639514,62
european,single,True,3,semi-annually,0.0,0.024202972620858576,0.04255657627357893,0.5687246188525013,0.7705267686691535,-0.16971907493582683,0.8295661509321918,617.4334240408388,18631.67058726953,31
european,single,True,3,semi-annually,0.015,0.02453020011178375,0.04260756630209702,0.5757240377884818,0.7783685221938853,-0.16696061984984645,0.7324147851534979,545.1251453633906,18454.437580508275,31
european,single,True,3,semi-annually,0.03,0.023547818807872378,0.042181205563808194,0.5582538121688155,0.7566795375850515,-0.17070462909453354,0.6951540974446679,517.3925842308911,17536.93768856945,31
european,single,True,4,monthly,0.0,0.011251639488204512,0.03922710328265438,0.2868333001070669,0.3798335999929739,-0.18176748162666775,0.9716251993175709,694.5690336531629,5658.678929478769,173
european,single,True,4,monthly,0.015,0.011515920161475623,0.03958549273622902,0.2909126390875045,0.3844374266196387,-0.1826476579884897,0.890893252976839,636.857572490767,5555.92461420441,172
european,single,True,4,monthly,0.03,0.010896545269917235,0.03955399165107663,0.2754853509107377,0.36513822142699537,-0.18834164053467609,0.82683273434358,591.0637287805852,5256.362617428087,172
european,single,True,4,quarterly,0.0,0.011546457769891827,0.03915536806344683,0.29488824498296384,0.39181182201761633,-0.1819704133626053,0.7826975732031782,553.1920014302545,5246.410631401708,58
european,single,True,4,quarterly,0.015,0.011620133788112552,0.03958738649244437,0.29353121834224555,0.3889066089427877,-0.18209194168031198,0.6690182848531083,472.8461881857082,5110.0675614059,58
european,single,True,4,quarterly,0.03,0.012003794247801958,0.03948828830976963,0.30398365595482524,0.4041683315067482,-0.183654961855749,0.6643012308273566,469.51228675724053,5276.012773102518,57
european,single,True,4,semi-annually,0.0,0.012926958351715756,0.03987129041473338,0.32421720534379644,0.43215248516215227,-0.17532079714568788,0.6259608045115981,434.61645454932585,5862.546081436623,29
european,single,True,4,semi-annually,0.015,0.013061862569586635,0.03994883279727331,0.3269648111090286,0.4356966723044025,-0.1756944688158691,0.5678749294145986,394.28633018355157,5952.3439427895155,29
european,single,True,4,semi-annually,0.03,0.01340270788572795,0.040434282122741874,0.33146892147220103,0.4421487577688445,-0.17536063546259906,0.535831062137561,372.0376655936632,5337.729268178249,29
european,single,True,5,monthly,0.0,0.012739825488605971,0.03892776215706193,0.32726837564421424,0.4366132472406168,-0.17900299327816788,1.0317703433940508,685.8695123232733,6939.305153341066,161
european,single,True,5,monthly,0.015,0.01310900047757313,0.03918404399538206,0.3345494528108956,0.44558992930934216,-0.1789393283678604,0.9095825541648642,604.6451585249255,7002.3204067144625,161
european,single,True,5,monthly,0.03,0.013565943996652896,0.0392502704203325,0.34562676515027113,0.46017099060991273,-0.17265835842036412,0.9296098216247828,617.9582879958857,7301.638381374047,160
european,single,True,5,quarterly,0.0,0.010948994970257253,0.03870078632547601,0.28291401828829854,0.37539042340099704,-0.17780298348835658,0.7967043936443142,523.5018603001654,5067.553402867485,54
european,single,True,5,quarterly,0.015,0.012033583639837753,0.03897402183214706,0.30875909321506195,0.408616225115521,-0.17637500821597085,0.6942337762737816,456.1700377979674,4894.58284025079,54
european,single,True,5,quarterly,0.03,0.014865485867876504,0.03962549279852612,0.37514955191748256,0.4966881255812812,-0.17276391403089192,0.7006852211667222,460.40918023275367,6062.93841658001,54
european,single,True,5,semi-annually,0.0,0.017960769269867116,0.03943182315704898,0.45548919202475124,0.6107166855092871,-0.16631429289604563,0.7274448092297003,468.8309598704215,9783.772949659999,27
european,single,True,5,semi-annually,0.015,0.018397678500119863,0.03978300078963689,0.46245074868541064,0.6156178727868338,-0.16366364972066805,0.6547973811805672,422.0104134973458,9634.270833928313,27
european,single,True,5,semi-annually,0.03,0.01948694941779272,0.04020726346754625,0.4846624151261086,0.6455387801383118,-0.16689361311195017,0.6297605075546437,405.87439692912574,9169.373027224203,27
european,single,False,2,monthly,0.0,0.022364091241413586,0.04115259758663016,0.5434430036727337,0.7494018302316896,-0.1726171140036316,1.7453534541702818,1422.5646086420068,19467.628849251465,197
european,single,False,2,monthly,0.015,0.024256683038606175,0.04166406070123358,0.5821968053605487,0.8015629771107321,-0.1724205167263637,1.4991349520203276,1221.8822045624956,19896.19652917022,196
european,single,False,2,monthly,0.03,0.02260712837737744,0.041427714874155815,0.5457005882668327,0.7525798656636447,-0.1731333021629815,1.401795695720988,1142.5450475458952,19940.728446456513,197
european,single,False,2,quarterly,0.0,0.02290289927292455,0.04178608968139847,0.5480986483193239,0.7551312890231362,-0.18100876619908537,1.309018373068954,1055.9952460637026,20033.22279309071,66
european,single,False,2,quarterly,0.015,0.02426989537026758,0.04215581603293049,0.5757187893435364,0.7914902244463619,-0.17707234349545303,1.1551205431005473,931.8446763164307,20078.849582444316,66
european,single,False,2,quarterly,0.03,0.02528643856135737,0.04244775311688496,0.5957073509103802,0.822542272999007,-0.17494240360563715,1.0472083310117508,844.7910601851128,20390.40917082454,66
european,single,False,2,semi-annually,0.0,0.01933041688630066,0.04146111776660464,0.466229998793486,0.642004459156119,-0.15134900574905127,0.9624842133569094,764.4535805471304,14885.933392473007,33
european,single,False,2,semi-annually,0.015,0.01956020044176232,0.04166920561161719,0.4694162068765003,0.6446311700008844,-0.14817537415043602,0.8920220992148227,708.4890102182617,14551.01935355901,33
european,single,False,2,semi-annually,0.03,0.02136553353866133,0.04193819364787306,0.5094528800656846,0.7001487919191688,-0.14896820355530668,0.8090098896882303,642.556520187695,13710.11637385136,33
european,single,False,3,monthly,0.0,0.020470026282846554,0.04095932111617,0.499764784303648,0.6849396765940982,-0.18440524691941193,1.3032234061273813,996.7295236185737,17033.78935537684,185
european,single,False,3,monthly,0.015,0.021025818190471224,0.04104381804106432,0.5122773463578584,0.7019052646328866,-0.18443673917066694,1.156191017676619,884.2764155727954,17286.669981237446,185
european,single,False,3,monthly,0.03,0.021691018949409058,0.04114796125506469,0.5271468691960826,0.724815908706732,-0.1826025695451775,1.1383738037113333,870.6494786222066,15845.7250179216,185
european,single,False,3,quarterly,0.0,0.021071808953555315,0.041989124871605187,0.5018396791547556,0.6833793128837683,-0.1857973165199496,1.0416014618612577,788.2235292496964,16405.764034676115,62
european,single,False,3,quarterly,0.015,0.021718438030349674,0.04208443521764712,0.5160681833563625,0.7013199250002605,-0.18127230485034249,0.8933193504396133,676.01223398086,15597.512804094247,62
european,single,False,3,quarterly,0.03,0.018919863800530123,0.04244866043132999,0.44571168108207204,0.6055778364042615,-0.1835507110113345,0.8409245971888719,636.3629258398472,15432.78241695786,62
