config_name,excluded,ann_return,ann_vol,sharpe_ratio,max_drawdown,ann_turnover
All Assets (Baseline),None,0.011620133788112552,0.03958738649244437,0.29353121834224555,-0.18209194168031198,0.6690182848531083
Exclude Japanese Gov Bonds (XJSE.DE),XJSE.DE,0.0159735530835452,0.03969281194337649,0.4024293644484589,-0.18209194168031198,0.7008473692337042
"Exclude German Bunds & Japanese Gov Bonds (IS0L.DE, XJSE.DE)","IS0L.DE, XJSE.DE",0.02086926097671693,0.04475618944519128,0.46628770758675875,-0.18209194168031198,0.6154783241194451
"Exclude All Government Bonds (XJSE.DE, IS0L.DE, IGLT.MI, IBCQ.DE)","XJSE.DE, IS0L.DE, IGLT.MI, IBCQ.DE",0.020897499845453194,0.048036452611990625,0.43503420234317763,-0.24009662430298556,0.5845212217613642
